xar_id,event,exec_start_time,put_time,key,key_size,value_size
6PGFPTGRXYJ5ZKY1,READ,1708687397.4906185,0,%C3%99%C2%BC%C3%BFC%C2%A1%C3%90%05%C2%B5%C2%B0%C3%8Dn7%C3%8AS,61,0
2BHW31MPN5X2GV89,READ,1708687397.4730887,0,%C3%BB%26W%C2%B6Wz%C3%B2%C2%BC%C3%9E%C2%8D%C3%8B%C2%BA%12%7F%C3%B1%C3%83j%C2%BD,79,0
2BHGVCQXDJYFWEZK,READ,1708687397.106325,0,%28%C2%BD%C3%85Nw%1Fkt%C3%9F%C3%AC%C2%A7t%C3%B6%02VD,52,0
6PG2YWQVR4YD0KBH,READ,1708687397.1857123,0,%5C%C3%A2%3Fm%C2%95%09q%C2%AB%C2%B1%07,38,0
6PG0RNSHH54QRMQK,READ,1708687397.1007729,0,%C2%A1W%C3%99%C3%AB%C2%AAQ%1E%C3%B8c%07%C3%93N,46,0
X34G4SZV4AD5TBRR,READ,1708687340.009474,0,iF%C3%81%3D%C2%A1%C2%92%C2%B7G%C2%B18%C3%84%23%2B%C3%97%C2%B3%C2%94%23%C3%AB,76,0
NRMRB6FMPNKEFM2S,READ,1708687339.9143174,0,%C3%8E%5B%C2%BB%C2%AF%C2%B33I%C2%88Gbk%C3%AF,44,0
8BTMTWDYP7J0YKRV,READ,1708687338.3249655,0,k%C2%AAm%C2%83%C3%AD%21%3F%1B%0F%C2%BA%C3%AEm%C3%BC%1A%C3%85s,61,0
8BTNMV14RMKJC3GR,READ,1708687338.1171644,0,%14%C3%AFc%C2%B2%5DS%0B%C3%92%C3%AE%C2%AAI%C2%AB%0F%C3%AB,57,0
8BTPDJD5WQ6H7J9F,READ,1708687337.1662264,0,%C2%9Ch%C3%92bp%1A%40%7B%19g,28,0
CBQ16T45XB0QRNJN,READ,1708687268.2243001,0,e%04%C3%8B%C2%B29%C3%B2h%C3%8C%C3%A4%27,39,0
D6YH0EQYBE65SKJ3,READ,1708687208.7744625,0,F6/2%C2%8F%C3%8D%C3%8A%1A%11j,29,0
THKS57KM1Y0AXHG7,READ,1708687072.9603066,0,c%29%C3%B8%C3%B88%C3%9E%C2%8F%C2%A6%0A%C2%B9,44,0
